Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
CENTURYPLY,INE348B01021,0,0,0,0,0,761.55,104,,61744.5,17456.7,28.2725,2023
DEVYANI,INE872J01023,164,26624,30290.8,3666.8,13.7725,0,0,,0,0,0,2023
DREAMFOLKS,INE0JS101016,0,0,0,0,0,101.9,20,,10970.3,-8932.3,-81.4226,2023
ELECON,INE205B01031,16,8709.2,8865.6,156.4,1.7958,396,82,,47937.3,-15465.3,-32.2615,2023
FACT,INE188A01015,9,4245.7,3890.7,-355,-8.3614,0,0,,0,0,0,2023
FAZE3Q,INE963C01033,0,0,0,0,0,373.45,5,,2371.75,-504.5,-21.2712,2023
GLENMARK,INE935A01035,5,4077.25,3852.05,-225.2,-5.5233,0,0,,0,0,0,2023
GOLDIAM,INE025B01025,325,45340.3,40952.6,-4387.7,-9.6773,0,0,,0,0,0,2023
GRWRHITECH,INE291A01017,52,32531.8,40538.9,8007.1,24.6131,0,0,,0,0,0,2023
HDFCLIFE,INE795G01014,39,20450.15,18909.15,-1541,-7.5354,0,0,,0,0,0,2023
HINDUNILVR,INE030A01027,13,25783.1597,35696.4,9913.2403,38.4485,0,0,,0,0,0,2023
HOMEFIRST,INE481N01025,0,0,0,0,0,1082.6,119,,95067,33762.4,35.5143,2023
IDFCFIRSTB,INE092T01019,130,11747.75,11268.63,-479.12,-4.0784,0,0,,0,0,0,2023
INFOBEAN,INE344S01016,7,3211.65,3270.05,58.4,1.8184,0,0,,0,0,0,2023
INFY,INE009A01021,32,42349.7,42310.5,-39.2,-0.0926,0,0,,0,0,0,2023
IONEXCHANG,INE570A01022,95,44407.05,44212.6,-194.45,-0.4379,0,0,,0,0,0,2023
ITC,INE154A01025,71,12476.85,29556.85,17080,136.8935,0,0,,0,0,0,2023
JBMA,INE927D01051,2,2711,3064,353,13.021,0,0,,0,0,0,2023
JIOFIN,INE758E01017,49,6120.3452,10299.8,4179.4548,68.2879,0,0,,0,0,0,2023
KEI,INE878B01027,3,5158.5,6666.3,1507.8,29.2294,4385.7,47,,108043.5,98084.4,90.7823,2023
KIRLOSBROS,INE732A01036,4,3379,3414.3,35.3,1.0447,0,0,,0,0,0,2023
KIRLOSENG,INE146L01010,0,0,0,0,0,1167.1,168,,73243.15,122829.65,167.7012,2023
KPITTECH,INE04I401011,0,0,0,0,0,1179.4,113,,121619.95,11652.25,9.5809,2023
MASFIN,INE348L01012,0,0,0,0,0,311.15,126,,111285.15,-72080.25,-64.7708,2023
MAZDOCK,INE249Z01020,3,5466.9,5512.35,45.45,0.8314,0,0,,0,0,0,2023
MCX,INE745G01043,21,26097.75,30875.75,4778,18.3081,0,0,,0,0,0,2023
MEGASTAR-T,INE00EM01016,126,33576.2,34203.6,627.4,1.8686,0,0,,0,0,0,2023
MOTILALOFS,INE338I01027,55,34598.05,37950,3351.95,9.6883,0,0,,0,0,0,2023
NAUKRI,INE663F01032,4,15361.95,14767.6,-594.35,-3.869,0,0,,0,0,0,2023
NEULANDLAB,INE794A01010,1,3800.95,3916.35,115.4,3.0361,0,0,,0,0,0,2023
OLECTRA,INE260D01016,2,2260.2,2086,-174.2,-7.7073,0,0,,0,0,0,2023
PAGEIND,INE761H01022,3,111907.95,112907.8,999.85,0.8935,0,0,,0,0,0,2023
PATANJALI,INE619A01035,10,9786,11550,1764,18.0258,543.9,100,,114629.85,-60239.85,-52.5516,2023
PAUSHAKLTD,INE111F01024,3,27199.85,21528.1,-5671.75,-20.8521,0,0,,0,0,0,2023
PERSISTENT,INE262H01021,0,0,0,0,0,6274,20,,102665.7,22814.3,22.2219,2023
POLYCAB,INE455K01017,4,20191.8,20349.4,157.6,0.7805,0,0,,0,0,0,2023
PSPPROJECT,INE488V01015,0,0,0,0,0,830.8,87,,65942.35,6337.25,9.6103,2023
RAIN,INE855B01025,243,26083.85,37215.45,11131.6,42.6762,0,0,,0,0,0,2023
RAYMOND,INE301A01014,0,0,0,0,0,403.2,37,,60890.85,-45972.45,-75.4998,2023
RELIANCE,INE002A01018,34,57748.9548,78980.45,21231.4952,36.7652,0,0,,0,0,0,2023
RKFORGE,INE399G01023,8,4702.8,5268.8,566,12.0354,0,0,,0,0,0,2023
